intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.087044,0.06666667,0.08397188,0.007051277,2.262581,11.6615,0.01176471,0.1843137,0.172549,0.9891048,0.5378498,0.0957535,0.9846721,5.856148,2.780632,0.1667842,74987,0.9040951,1.106078,0.9684239,0.4083228,0.728935,1
0.178065,0.1587302,0.1154664,0.0133325,1.389988,6.228836,0.0515873,0.3253968,0.2738095,0.9705493,0.3586225,0.1914213,0.9726895,6.640666,2.676116,0.1891535,17060,0.7798319,1.282328,0.9770905,0.8878981,0.6010005,1
0.1054323,0.06666667,0.1099206,0.01208254,2.660265,11.79161,0.02745098,0.2431373,0.2156863,0.9865879,0.504565,0.09182189,0.9844893,6.009265,2.817329,0.1672864,80288,0.9451395,1.058045,0.985782,0.5589859,0.7469763,2
0.1467736,0.1241379,0.0917059,0.008409972,2.561687,13.20336,0.06896552,0.2344828,0.1655172,0.9724497,0.5130866,0.242481,0.9581414,5.323606,2.604968,0.19269,10210,0.9503613,1.052231,0.9828649,0.6287068,0.7600685,2
0.1461211,0.08235294,0.1533005,0.02350103,2.193068,7.764399,0.03921569,0.3411765,0.3019608,0.9838778,0.4329821,0.08066104,0.9864475,6.370712,2.827277,0.1674775,87719,0.9439913,1.059332,0.9869375,0.4749113,0.7385619,2
0.2652884,0.2637795,0.07598431,0.005773615,0.8997639,6.952064,0.1732284,0.3543307,0.1811024,0.972398,0.3080337,0.1117736,0.979256,6.237455,2.832724,0.1640918,100411,0.8270814,1.209071,0.940354,0.6589705,0.6737185,2
0.1401553,0.06666667,0.189596,0.03594664,2.281016,8.238652,0.007843138,0.3764706,0.3686275,0.9826959,0.464655,0.0711982,0.9870525,6.334885,2.674417,0.1891557,100816,0.9530956,1.049213,0.9794523,0.4725929,0.7808656,2
0.1218074,0.06530612,0.1387652,0.01925579,2.234305,8.343224,0.0244898,0.3061225,0.2816327,0.9683672,0.4617202,0.2189636,0.9609155,6.154994,2.773939,0.1720688,12565,0.9465312,1.056489,0.9882807,0.709123,0.766626,2
0.07891326,0.05691057,0.08218401,0.006754212,2.815722,12.42338,0.01219512,0.1544715,0.1422764,0.9904791,0.5421711,0.07288207,0.9882241,5.271398,2.682036,0.190615,90764,0.8871717,1.127177,0.9708522,0.5164996,0.7327005,2
0.06754453,0.003921569,0.135849,0.01845494,2.798288,11.06838,0.003921569,0.2509804,0.2470588,0.9894959,0.4631643,0.08881945,0.9870219,4.002088,2.225191,0.3132269,102799,0.8104246,1.233921,0.9636563,0.8386322,0.6715597,2
0.1442352,0.09016393,0.1476878,0.02181169,1.331617,4.561741,0.01229508,0.3770492,0.3647541,0.9806382,0.4398223,0.1233991,0.9750149,6.121362,2.694793,0.1871528,76666,0.8155224,1.226208,0.9627174,0.4680895,0.7994035,2
0.3230596,0.314741,0.1659722,0.02754677,0.3547716,2.461982,0.1075697,0.5418327,0.434263,0.9627146,0.2488111,0.1523429,0.9659522,7.275926,2.730318,0.1826645,31669,0.9221763,1.084391,0.986481,0.6830035,0.7625939,1
0.2990202,0.2887029,0.09459611,0.008948424,0.7037628,4.24241,0.1841004,0.41841,0.2343096,0.9644627,0.3323626,0.1439532,0.9665156,6.486479,2.697331,0.1871,63458,0.9198512,1.087132,0.9834485,0.6004379,0.7558843,2
0.183614,0.1752988,0.05621671,0.003160319,5.61871,66.1997,0.1314741,0.2390438,0.1075697,0.9705857,0.5170824,0.3468404,0.9371846,5.370694,2.925035,0.1508504,7507,0.9910307,1.00905,0.9865948,0.5774148,0.776158,2
0.05677438,0.02745098,0.09931102,0.009862678,4.690697,31.44324,0.007843138,0.1333333,0.1254902,0.987399,0.5928407,0.07599685,0.9862928,4.975156,2.434076,0.2595283,77683,0.805365,1.241673,0.942835,0.8627538,0.7774675,1
0.2188679,0.2163743,0.08266463,0.006833442,0.3205788,2.986956,0.1111111,0.3274854,0.2163743,0.9378414,0.2884456,0.3229194,0.9380155,5.831244,2.66626,0.1876607,11456,0.9607888,1.040811,0.9869056,0.3195046,0.7572713,2
0.1770772,0.09411765,0.1943157,0.03775859,1.368374,3.967347,0.01176471,0.4941176,0.4823529,0.9825487,0.3736602,0.08095597,0.985747,6.693718,2.823802,0.1618879,69292,0.8206146,1.218599,0.9275293,0.6256278,0.7476882,2
